epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,290.602,2.70272,2.01455,1.42909,0.03493,0.19597,0.01744,0.00657,2.82652,75.5269,1.51398,0.000662698,0.000662698,0.000662698
2,565.416,2.79488,1.90487,1.39396,0.10783,0.12601,0.03118,0.01064,2.90032,3.05263,1.57924,0.00126356,0.00126356,0.00126356
3,882.427,2.98392,2.04066,1.4342,0.04973,0.15641,0.01932,0.00722,2.89215,18.4884,1.65832,0.00179842,0.00179842,0.00179842
4,1318.24,3.00402,2.05726,1.44716,0.04529,0.12051,0.01523,0.00564,3.12445,26.1682,2.39965,0.001703,0.001703,0.001703
5,1760.47,2.91642,1.93633,1.39586,0.21134,0.1674,0.08446,0.029,2.7904,2.29193,1.37443,0.001604,0.001604,0.001604
6,2203.44,2.86739,1.86389,1.38312,0.10996,0.18974,0.03751,0.0144,2.69111,16.8669,1.41125,0.001505,0.001505,0.001505
7,2482.88,2.74015,1.80145,1.32596,0.08938,0.1685,0.0302,0.01125,2.90036,529.609,2.81333,0.001406,0.001406,0.001406
8,2750.81,2.72687,1.89187,1.31003,0.22733,0.20799,0.07933,0.02953,2.50819,5.1346,1.3736,0.001307,0.001307,0.001307
9,3018.23,2.60992,1.74562,1.30834,0.06224,0.22772,0.02868,0.01134,2.61485,83.4593,1.53096,0.001208,0.001208,0.001208
10,3286.1,2.49877,1.63033,1.26286,0.17679,0.20879,0.06815,0.02486,2.50258,2.59587,1.27287,0.001109,0.001109,0.001109
11,3553.46,2.6039,1.86392,1.29942,0.35026,0.21099,0.16385,0.0664,2.47602,1.63828,1.25749,0.00101,0.00101,0.00101
12,3820.57,2.56877,1.78802,1.25534,0.35239,0.21392,0.16891,0.06534,2.51681,1.58894,1.2609,0.000911,0.000911,0.000911
13,4087.41,2.55983,1.75453,1.25353,0.17944,0.22234,0.06779,0.02509,2.48834,17.2625,1.25519,0.000812,0.000812,0.000812
14,4354.5,2.52791,1.64586,1.23527,0.41574,0.20733,0.18394,0.07636,2.36817,1.52219,1.24989,0.000713,0.000713,0.000713
15,4767.98,2.4693,1.5964,1.21814,0.38723,0.22894,0.19402,0.07548,2.37502,1.5082,1.22944,0.000614,0.000614,0.000614
16,5188.47,2.50925,1.63537,1.21602,0.23911,0.22271,0.08911,0.03561,2.34962,1.92464,1.25229,0.000515,0.000515,0.000515
17,5625.8,2.43253,1.63913,1.22072,0.25039,0.22527,0.09262,0.03595,2.37626,2.23519,1.21802,0.000416,0.000416,0.000416
18,6061.86,2.38521,1.56708,1.19579,0.43471,0.24281,0.21927,0.09499,2.27381,1.42748,1.20259,0.000317,0.000317,0.000317
19,6497.62,2.35813,1.52133,1.18155,0.20405,0.23919,0.08104,0.03279,2.29319,2.17241,1.19174,0.000218,0.000218,0.000218
20,6934.75,2.3103,1.44512,1.16162,0.38216,0.2337,0.1834,0.08228,2.22616,1.42184,1.19828,0.000119,0.000119,0.000119
